"Comment","Designator","Footprint","LCSC Part #"
"10uF","C1","C_0805_2012Metric","C91245"
"0.1uF","C2,C3","C_0805_2012Metric","C49678"
"1uF","C5","C_0805_2012Metric","C28323"
"22pF","C6,C7","C_0805_2012Metric","C1804"
"D_Small","D1,D5,D4,D3,D2,D6,D10,D9,D8,D7,D11,D15,D14,D13,D12,D19,D18,D16,D17","D_SOT-23_ANK","C68978"
"Polyfuse_Small","F1","Fuse_1206_3216Metric","C69688"
"5.1k","R1,R2","R_0805_2012Metric","C27834"
"22","R3,R4","R_0805_2012Metric","C17561"
"10k","R5,R6","R_0805_2012Metric","C17414"
"1.5k","R7","R_0805_2012Metric","C4310"
"SW_Push","RESET","SW_SPST_TL3342","C318884"
"ATmega32U2-AU","U1","TQFP-32_7x7mm_P0.8mm","C618733"
"SRV05-4","U2","SOT-23-6","C85364"
"USB_C_Receptacle_USB2.0","USB1","USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"Crystal_GND24_Small","X1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
