Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,-175.768000,-83.312000,0.000000,bottom
C2,0.1uF,C_0805_2012Metric,-175.641000,-87.884000,0.000000,bottom
C3,0.1uF,C_0805_2012Metric,-175.641000,-98.806000,0.000000,bottom
C5,1uF,C_0805_2012Metric,-162.433000,-87.884000,180.000000,bottom
C6,22pF,C_0805_2012Metric,-175.641000,-90.043000,180.000000,bottom
C7,22pF,C_0805_2012Metric,-175.641000,-96.520000,0.000000,bottom
D1,D_Small,D_SOT-23_ANK,-76.962000,-69.596000,270.000000,bottom
D2,D_Small,D_SOT-23_ANK,-115.125500,-69.596000,270.000000,bottom
D3,D_Small,D_SOT-23_ANK,-134.112000,-69.596000,270.000000,bottom
D4,D_Small,D_SOT-23_ANK,-191.389000,-69.659500,270.000000,bottom
D5,D_Small,D_SOT-23_ANK,-230.441500,-69.659500,270.000000,bottom
D6,D_Small,D_SOT-23_ANK,-80.708500,-88.646000,270.000000,bottom
D7,D_Small,D_SOT-23_ANK,-119.888000,-88.646000,270.000000,bottom
D8,D_Small,D_SOT-23_ANK,-158.051500,-88.646000,270.000000,bottom
D9,D_Small,D_SOT-23_ANK,-196.024500,-88.646000,270.000000,bottom
D10,D_Small,D_SOT-23_ANK,-234.188000,-88.646000,270.000000,bottom
D11,D_Small,D_SOT-23_ANK,-87.884000,-108.077000,270.000000,bottom
D12,D_Small,D_SOT-23_ANK,-110.299500,-108.077000,270.000000,bottom
D13,D_Small,D_SOT-23_ANK,-148.399500,-108.077000,270.000000,bottom
D14,D_Small,D_SOT-23_ANK,-186.563000,-108.077000,270.000000,bottom
D15,D_Small,D_SOT-23_ANK,-226.568000,-108.077000,270.000000,bottom
D16,D_Small,D_SOT-23_ANK,-96.043750,-126.555500,270.000000,bottom
D17,D_Small,D_SOT-23_ANK,-145.161000,-126.492000,270.000000,bottom
D18,D_Small,D_SOT-23_ANK,-215.138000,-126.555500,270.000000,bottom
D19,D_Small,D_SOT-23_ANK,-234.124500,-126.555500,270.000000,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,-153.225500,-72.072500,180.000000,bottom
R1,5.1k,R_0805_2012Metric,-140.906500,-59.563000,0.000000,bottom
R2,5.1k,R_0805_2012Metric,-170.474000,-59.626500,180.000000,bottom
R3,22,R_0805_2012Metric,-164.401500,-76.644500,0.000000,bottom
R4,22,R_0805_2012Metric,-164.425000,-74.422000,0.000000,bottom
R5,10k,R_0805_2012Metric,-167.513000,-103.124000,90.000000,bottom
R6,10k,R_0805_2012Metric,-198.120000,-95.123000,270.000000,bottom
R7,1.5k,R_0805_2012Metric,-168.846500,-125.793500,90.000000,bottom
RESET,SW_Push,SW_SPST_TL3342,-205.486000,-95.123000,0.000000,bottom
U1,ATmega32U2-AU,TQFP-32_7x7mm_P0.8mm,-167.767000,-94.488000,270.000000,bottom
U2,SRV05-4,SOT-23-6,-153.225500,-67.564000,0.000000,bottom
USB1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-155.575000,-56.070500,0.000000,bottom
X1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,-175.673687,-93.296134,270.000000,bottom
